Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
bamboo floor lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooLamp.png,NA,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,3557,green,FtrBambooLamp,NA,2410,159,47AeakgHNdNvSvLRb
bamboo flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorBamboo00.png,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Floors,4964,green,RoomTexFloorBamboo00,NA,2460,485,JyK3oMGwWg46SZ7M6
bamboo hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatAjiroBeige.png,NA,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Equipment,5143,green,CapHatAjiroBeige,NA,1284,607,p6dWvgRwv6574A7md
bamboo lattice fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceBamboo.png,NA,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3403,green,ItemFenceBamboo,NA,2490,101,kFi2XW9eoPkAoWdS5
bamboo lunch box,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooLunch.png,NA,4,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5978,green,FtrBambooLunch,NA,2406,421,ejw8RfXvq8vPJuLod
bamboo noodle slide,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooSomen.png,NA,7,young spring bamboo,3,wood,,,,,,,,,NFS,200,NA,NA,Balloons; Isabelle,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,5979,green,FtrBambooSomen,NA,3002,424,P9SmzDkYdcYuPmRop
bamboo partition,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooScreen.png,NA,7,bamboo piece,6,stone,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,3553,green,FtrBambooScreen,NA,2403,157,6B3A3RrMHHYeGnDR4
bamboo shelf,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooShelf.png,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3551,green,FtrBambooShelf,NA,2405,155,ATFSAKswogCggcGbd
bamboo speaker,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooMusic.png,NA,3,bamboo piece,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10743,green,FtrBambooMusic,NA,2411,591,59rwk7hPFaeWEX7AY
bamboo sphere,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooBall.png,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5976,green,FtrBambooBall,NA,2404,420,4DSiABqB4KvShtQdM
bamboo stool,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooStool.png,NA,5,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10742,green,FtrBambooStool,NA,2400,590,cSywc8qQTGtF5PTqT
bamboo stopblock,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooCarstop.png,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Housewares,3556,green,FtrBambooCarstop,NA,2412,154,g6cSM6je3YN47KiMD
bamboo wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallBamboo00.png,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Wallpaper,4833,green,RoomTexWallBamboo00,NA,2450,322,BYCNmo3a3HZQXWqHK
bamboo wall decoration,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooFlowerwall.png,NA,1,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3558,green,FtrBambooFlowerwall,NA,2430,151,Xb2ywJv5tsDeSKG2H
bamboo wand,https://acnhcdn.com/latest/DIYRecipeIcon/ToolStickBamboo.png,NA,6,young spring bamboo,3,star fragment,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Tools,7590,green,ToolStickBamboo,NA,3090,538,Z5FSewP6wM2McqRCJ
bamboo-grove wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallChikurin00.png,NA,7,young spring bamboo,3,bamboo shoot,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Wallpaper,4853,green,RoomTexWallChikurin00,NA,3051,300,YEqTcFmBecj7pp4XX
bamboo-shoot lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooshootLamp.png,NA,4,young spring bamboo,5,bamboo shoot,4,clay,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Miscellaneous,5977,green,FtrBambooshootLamp,NA,3004,385,kdfzcoLwkhis8mbtR
bamboo-shoot soup,https://acnhcdn.com/latest/CookingIcon/FtrSoupBambooshoot.png,NA,2,bamboo shoot,,,,,,,,,,,NFS,200,NA,NA,Daisy Mae,Sent in the mail after purchasing turnips,NA,NA,2.0.0,Yes,0,Savory,13943,color_63,FtrSoupBambooshoot,NA,12104,856,RqxPNf9JmDprC2FRj
bamboo-slats fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceSandProtection.png,NA,3,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,2.0.0,Yes,0,Other,14757,green,ItemFenceSandProtection,NA,2492,1009,TiZtS7iuDhaL76Y8p
barbed-wire fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceBarbedWire.png,NA,4,hardwood,2,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,5213,brown,ItemFenceBarbedWire,NA,585,561,dgW8J3q4JWsyyrDxP
barbell,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBarbell.png,NA,10,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,4078,dark gray,FtrBarbell,NA,914,395,A3fKpbNzYnRZwYMbx
barred-knifejaw carpaccio,https://acnhcdn.com/latest/CookingIcon/FtrCarpaccioBeakfish.png,NA,1,barred knifejaw,,,,,,,,,,,NFS,200,NA,NA,Catching a barred knifejaw,,NA,NA,2.0.0,Yes,0,Savory,14168,color_66,FtrCarpaccioBeakfish,NA,13403,948,95gSnj7e4hGhkSaBq
barrel,https://acnhcdn.com/latest/DIYRecipeIcon/FtrPirateBarrel.png,NA,5,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1266,brown,FtrPirateBarrel,NA,431,165,QBxsHQZ8DpGYE7d8S
basement flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorBasement00.png,NA,10,stone,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Floors,4797,light gray,RoomTexFloorBasement00,NA,855,474,RdpaWYGrZLzQWtKDJ
basket pack,https://acnhcdn.com/latest/DIYRecipeIcon/BagBackpackBasket0.png,NA,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Equipment,7506,green,BagBackpackBasket0,NA,3080,645,j2a3p7Gtpy8fW2Z5S
beekeeper's hive,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBeekeepingbox.png,NA,3,wasp nest,5,wood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,3406,orange,FtrBeekeepingbox,NA,2000,204,nxtm2DdtRcHzAyrZX
big festive tree,https://acnhcdn.com/latest/DIYRecipeIcon/FtrTreeXmasL.png,NA,6,red ornament,6,blue ornament,4,gold ornament,5,wood,5,clay,,,NFS,200,NA,NA,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3966,white,FtrTreeXmasL,NA,7404,273,xArzFHH3vK5tq4r6y
birdbath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdbus.png,NA,6,stone,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,331,light gray,FtrBirdbus,NA,802,42,73BAmDLcYdhSDnHLR
birdcage,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdcage.png,NA,8,wood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,865,brown,FtrBirdcage,NA,404,216,Dm56HseZexdC2ctda
birdhouse,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBirdhouse.png,NA,2,wood,5,softwood,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,333,brown,FtrBirdhouse,NA,435,41,cDe3r9tficCbWgmH4
block fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceConcreteBlock.png,NA,8,stone,2,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,2.0.0,Yes,0,Other,4355,light gray,ItemFenceConcreteBlock,NA,872,551,ntze5zvFuK7NE7dn9
blossom-viewing lantern,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSakuraLantern.png,NA,6,cherry-blossom petal,4,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6831,pink,FtrSakuraLantern,NA,3404,427,7dxFMY3pjTmv4D3QX
blue rose crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentRose4.png,NA,6,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,7377,green,CapOrnamentRose4,NA,8215,459,5oscGctPhHbHFeSHY
blue rose wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,NA,10,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5772,green,FtrDoorOrnamentWreathRoseUrtraRare,NA,7855,447,XbGbAr5htMNb6h4mr
bone doorplate,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorPlateBone.png,NA,3,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4751,brown,FtrDoorPlateBone,NA,500,467,jbvhjbWecrky57s9e
bonfire,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCampfire.png,NA,1,campfire,10,wood,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,1430,brown,FtrCampfire,NA,201,34,JxApKgoud4gfvEcwk
bonsai shelf,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBonsaiShelf.png,NA,1,cherry-blossom bonsai,1,pine bonsai tree,8,wood,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Housewares,3580,brown,FtrBonsaiShelf,NA,437,593,ybNj2deAkSr4AkbXf
boomerang,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBoomerang.png,NA,3,hardwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,682,brown,FtrBoomerang,NA,481,171,rMasSCDby69z84Fai
box-shaped seat,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStoolBox.png,NA,6,wood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,2.0.0,Yes,0,Housewares,12350,brown,FtrStoolBox,NA,407,1051,of9KRXbfbxMhg4Zgu
bread,https://acnhcdn.com/latest/CookingIcon/FtrBreadbasket.png,NA,3,flour,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,12822,color_63,FtrBreadbasket,NA,12801,975,B3PpRPNLt3EvMKp7a
bread gratin,https://acnhcdn.com/latest/CookingIcon/FtrVesselBread.png,NA,2,flour,2,whole-wheat flour,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,13933,color_61,FtrVesselBread,NA,12601,846,DwqTzefK8BKrPapvE
brick fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceWallRenga.png,NA,6,clay,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3080,brick,ItemFenceWallRenga,NA,770,99,F7bg775Kh6niY7gcZ
brick oven,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStoneoven.png,NA,8,clay,2,iron nugget,6,wood,,,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,1157,brick,FtrStoneoven,NA,706,58,HKzfxMGvbz6Xhni9E
brick pillar,https://acnhcdn.com/latest/DIYRecipeIcon/FtrWallPillarBrick.png,NA,4,clay,,,,,,,,,,,NFS,200,NA,NA,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14596,color_55,FtrWallPillarBrick,NA,782,831,tHuA39XBMyQendPb2
brick well,https://acnhcdn.com/latest/DIYRecipeIcon/FtrWellBrick.png,NA,8,clay,5,wood,1,flimsy shovel,,,,,,,NFS,200,2000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,3776,brick,FtrWellBrick,NA,707,408,MZhaSK4GZ9D3jkRMw
bridge construction kit,https://acnhcdn.com/latest/DIYRecipeIcon/BridgeLogReserveKit.png,NA,4,log stakes,4,clay,4,stone,,,,,,,NFS,200,NA,NA,Tom Nook,Obtained during the main storyline,NA,NA,1.0.0,Yes,0,Other,7211,NA,BridgeLogReserveKit,NA,1,458,5aMdJ9fqw3nFtTSYR
brown herringbone wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallHerringbone00.png,NA,15,softwood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4804,brown,RoomTexWallHerringbone00,NA,524,312,YXiuGMDZmkG7wbuQn
brown sugar,https://acnhcdn.com/latest/CookingIcon/FlourSugarbrown.png,NA,5,sugarcane,,,,,,,,,,,NFS,200,NA,NA,Basic Cooking Recipes,,NA,NA,2.0.0,Yes,0,Savory,13998,color_61,FlourSugarbrown,NA,12004,907,qnXmnxczSqqef8zfu
brown-sugar cupcakes,https://acnhcdn.com/latest/CookingIcon/FtrCupcakeBlacksuger.png,NA,1,whole-wheat flour,1,brown sugar,,,,,,,,,NFS,200,NA,NA,Basic Cooking Recipes,,NA,NA,2.0.0,Yes,0,Sweet,14112,color_64,FtrCupcakeBlacksuger,NA,14202,920,Ee3Xr4C2ziRuRHr9G
brown-sugar pound cake,https://acnhcdn.com/latest/CookingIcon/FtrPoundcakeSugarbrown.png,NA,2,flour,1,brown sugar,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14002,color_64,FtrPoundcakeSugarbrown,NA,14702,911,fxT5cEz4pzkZWvNJH
Bunny Day arch,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggArch.png,NA,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Zipper,Reward from Zipper after collecting all 6 egg types,Bunny Day,Yes,1.1.0,Yes,0,Housewares,12398,yellow,FtrEggArch,NA,8608,695,LnuCzHYJaAs4HNMdm
Bunny Day bag,https://acnhcdn.com/latest/DIYRecipeIcon/BagBackpackEgg0.png,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,All villagers,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12447,yellow,BagBackpackEgg0,NA,8681,694,9njGw9d2nxaB5RiGR
Bunny Day bed,https://acnhcdn.com/latest/DIYRecipeIcon/FtrEggBedW.png,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Zipper,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12414,yellow,FtrEggBedW,NA,8604,698,FiJ85ZKnHbkjNQ7FF
