Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal3.png,Pink,No,2320,580,51,Pink,Pink,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal3,388,8451,rsgnoR4TBYBqJMXBg
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal1.png,Green,No,2320,580,51,Green,Green,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal1,388,8449,gWnBj8n2ZKrm8j8zf
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal0.png,Blue,No,2320,580,51,Blue,Aqua,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Cute,Gorgeous,everyday,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal0,388,4465,ozg6yMkXQzsmkjPsW
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal2.png,Purple,No,2320,580,51,Purple,Purple,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal2,388,8450,jKHbF6WwExfSBPBww
animal-stripes tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe1.png,Zebra,No,960,240,51,Gray,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe1,1027,12066,gkjWimKdm6sMgiTw8
animal-stripes tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe0.png,Tiger,No,960,240,51,Yellow,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe0,1027,8198,WTG2RBsXk5cimHsis
annyeong tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHHellokr0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHHellokr0.png,NA,No,640,160,51,Aqua,White,1x1,580,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHHellokr0,1171,12117,mfMor9YWpsoEbPK5e
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak1.png,Red,No,1400,350,51,Red,Red,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak1,548,9308,Ws4vh3dya8i8nPtJ9
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak2.png,Blue,No,1400,350,51,Blue,Blue,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak2,548,9309,BaiWuWNL9muLeYYkQ
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak0.png,Camel,No,1400,350,51,Beige,Beige,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak0,548,4793,agpR79ZTHcuQheDdF
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron6.png,Gray,No,840,210,51,Gray,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron6,87,9600,QdF6ZF74688kYPLx3
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron3.png,Pink,No,840,210,51,Pink,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron3,87,9597,yT7c96mMafv5QEddb
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron0.png,Orange,No,840,210,51,Orange,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron0,87,3228,LTZqXvkrNxza2nMPb
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron1.png,Green,No,840,210,51,Green,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron1,87,9595,d5kmhJqzcK6uT3iJr
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron4.png,Light blue,No,840,210,51,Aqua,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron4,87,9598,EbD6WxjrdSDosTkPa
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron2.png,Blue,No,840,210,51,Blue,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron2,87,9596,sc9Mtxn3PWuAtCtWt
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron5.png,Purple,No,840,210,51,Purple,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron5,87,9599,GRb6jZGaZzWdsmYuj
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron7.png,Brown,No,840,210,51,Brown,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron7,87,9601,wu2TYq7RGJWFEugZs
Aran-knit cardigan,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan2.png,Pink,No,1300,325,51,Pink,Pink,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan2,212,7679,mJtGnjdLxpmdakhxo
Aran-knit cardigan,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan3.png,Yellow,No,1300,325,51,Yellow,Yellow,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan3,212,7680,7nmckbhG5uG3JQxPz
Aran-knit cardigan,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan1.png,Light blue,No,1300,325,51,Aqua,Aqua,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan1,212,7678,MzK6AWudRCPLEdSPi
Aran-knit cardigan,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan0.png,Beige,No,1300,325,51,Beige,Beige,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan0,212,3643,fJR97K7r3qHAB2TLr
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran1.png,White,No,1200,300,51,White,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran1,209,7672,r9fBZ2q6e4neh4vxK
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran2.png,Gray,No,1200,300,51,Gray,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran2,209,7673,GDMzeQoGkah87ocD7
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran4.png,Black,No,1200,300,51,Black,Black,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran4,209,7675,nDgu8apAqxvPpaYaa
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran0.png,Red,No,1200,300,51,Red,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran0,209,3633,Bk2v8mfDeJJX3khg6
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran5.png,Orange,No,1200,300,51,Orange,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran5,209,7676,yWjKAXMSpvrdPQ96S
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran3.png,Green,No,1200,300,51,Green,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran3,209,7674,twRmAecxYcKDTriJu
Aran-knit sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran6.png,Blue,No,1200,300,51,Blue,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran6,209,7677,csp3scivRcpNKguZd
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle7.png,White,No,1200,300,51,White,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,Winter,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle7,195,7748,22jF8CGD8WXrECzwD
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle1.png,Gray,No,1200,300,51,Gray,Purple,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle1,195,7742,asRCNMsvrCGPew8ao
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle3.png,Black,No,1200,300,51,Black,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle3,195,7744,5nftKFQRatJC7xgjB
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle4.png,Red,No,1200,300,51,Red,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle4,195,7745,nRyNWtuy5uhdJWfQg
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle6.png,Pink,No,1200,300,51,Pink,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle6,195,7747,wcs4qoRrafHXt9EKj
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle2.png,Mustard,No,1200,300,51,Yellow,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle2,195,7743,YnhhYiacfsWJcPCpe
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle0.png,Green,No,1200,300,51,Green,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle0,195,3579,xEqYEzdaBXvj9s346
argyle sweater,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle5.png,Purple,No,1200,300,51,Purple,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle5,195,7746,f5YsDGb6KcjJHHDvj
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle4.png,Gray,No,1440,360,51,Gray,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle4,106,8483,akqeXj6PYe8Bj4aYY
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle3.png,Red,No,1440,360,51,Red,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle3,106,8482,SMfqtZmDWDAZPEGvM
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle1.png,Pink,No,1440,360,51,Pink,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle1,106,8480,3gRjPwykkZqE2f3tp
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle5.png,Green,No,1440,360,51,Green,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle5,106,8484,LsiMSCR4tDsnLMF7K
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle0.png,Blue,No,1440,360,51,Blue,Aqua,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle0,106,3262,QfjxZgK6b3zp2hr7T
argyle vest,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle2.png,Brown,No,1440,360,51,Brown,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle2,106,8481,o9fJxQLHiEstT9dtt
athletic jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey2.png,Black,No,960,240,51,Black,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey2,93,7199,QhC4BYigzMiswiDSn
athletic jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey4.png,Berry red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey4,93,7201,YfNJuXFSjQuTwuETC
