Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Primary Shape,Secondary Shape,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,Green,No,2520,630,51,Green,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen0,774,5519,9ia2ueaAKgT25KpLq
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,Blue,No,2520,630,51,Aqua,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen3,774,9164,eZq27jsCvY5jxiyJX
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,Purple,No,2520,630,51,Purple,Purple,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,5,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen4,774,9165,jr6P62azs7uQ2gzjL
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai0.png,White,No,2520,630,51,White,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai0,181,3493,KPYgXwbrnLgBT7aaS
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai4.png,Pink,No,2520,630,51,Pink,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,2,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai4,181,9144,EhoEQfAaNHBCYq6ET
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai2.png,Yellow,No,2520,630,51,Yellow,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,3,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai2,181,9142,iCHJh668S3FYby4iz
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai3.png,Green,No,2520,630,51,Green,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,4,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai3,181,9143,bkv3c36HA4856YrPL
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai1.png,Navy blue,No,2520,630,51,Blue,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,5,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai1,181,9141,qJ6wpwNd8tRK4mJqt
apple dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNApple0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNApple0.png,NA,Yes,NFS,1600,103,Yellow,Red,1x1,NA,NA,Crafting,,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Yes,A-line,N,Not for sale,1.0.0,Yes,TopsTexOnepieceAlineNApple0,1087,9836,4r6bu79MTGChcioYr
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace2.png,Pink,No,2500,625,51,Gray,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; theatrical,1,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace2,586,7891,MCrJgJnwLXfXbNiTA
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace1.png,Green,No,2500,625,51,Gray,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; theatrical,2,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace1,586,7890,Zwb2C5oFXQ3ip2KTb
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace0.png,Blue,No,2500,625,51,Gray,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; theatrical,3,Yes,A-line,N,For sale,1.0.0,Yes,TopsTexOnepieceAlineNSpace0,586,5135,YgSrhdHZosAdNtDvp
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform0.png,Red,No,1500,375,51,Red,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,1,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform0,1406,14422,SRFZfSW3rpFSnHwfu
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform1.png,Light blue,No,1500,375,51,Blue,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,2,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform1,1406,127,KEhz46i7Q5pRBSACW
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform2.png,Yellow,No,1500,375,51,Yellow,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,3,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform2,1406,128,L5CXYu6NQJcgEwg2B
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform3.png,Green,No,1500,375,51,Green,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,4,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform3,1406,129,infF6h7knZPGbpN5N
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform4.png,Orange,No,1500,375,51,Orange,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,5,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform4,1406,130,Pop3bPNrvZGhEnszg
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform5.png,Pink,No,1500,375,51,Pink,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,6,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform5,1406,133,82YwAXhuSy7HpDgKN
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform6.png,Purple,No,1500,375,51,Purple,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,7,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform6,1406,135,tHhuqdPmf9okgtyff
athletic outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceSalopetteHUniform7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceSalopetteHUniform7.png,Navy blue,No,1500,375,51,Black,Black,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,8,Yes,Salopette,H,For sale,2.0.0,Yes,TopsTexOnepieceSalopetteHUniform7,1406,137,RjujXsE5sJzMjNHbe
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi2.png,Red,No,2520,630,51,Red,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Elegant,everyday; formal,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi2,1158,11999,GKPivR7QXbRhAH589
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi0.png,Blue,No,2520,630,51,Blue,Beige,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Elegant,everyday; formal,2,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi0,1158,10907,GCnizpuhnhMnWodB6
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi1.png,Brown,No,2520,630,51,Brown,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Elegant,everyday; formal,3,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAttoushi1,1158,11998,uWaA98hr4zo2nE424
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers4.png,Baby pink,No,1920,480,51,Red,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,1,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers4,393,7831,xugKSBhsTLu7iJHqf
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers1.png,Baby purple,No,1920,480,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,2,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers1,393,7828,xaNwcn2BKpELEEcJu
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers7.png,Baby orange,No,1920,480,51,Orange,Orange,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,3,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers7,393,7834,63PAmvstBoJvzyYq9
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers2.png,Baby yellow,No,1920,480,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,4,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers2,393,7829,jATy7chF9RZSpzgkM
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers3.png,Baby green,No,1920,480,51,Green,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,5,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers3,393,7830,3wYgbYbbc9R7XK6sT
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers0.png,Baby mint,No,1920,480,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,6,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers0,393,4470,fpTozgJHe8zAbuoJr
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers6.png,Baby blue,No,1920,480,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,7,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers6,393,7833,6SATwHBYcR8soiT2n
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers5.png,Baby gray,No,1920,480,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,fairy tale; comfy,8,Yes,Overall,L,For sale,1.0.0,Yes,TopsTexOnepieceOverallLRompers5,393,7832,AXWwhihKEF9GCxh7R
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick0.png,Yellow,No,1700,425,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,All Year,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick0,805,5644,YA7qY7v9XHAvmqbXH
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick1.png,Blue,No,1700,425,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,2,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick1,805,9640,gW7sLivQcaehgbjXP
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick2.png,Beige,No,1700,425,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,3,Yes,Rib,N,For sale,1.0.0,Yes,TopsTexOnepieceRibNChick2,805,9641,ypSLLZTw54xErGjfT
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea3.png,Black,No,2520,630,51,Black,Gray,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Elegant,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea3,892,9168,MapEioZAxqTnzK2Mz
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea2.png,Aqua,No,2520,630,51,Aqua,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Elegant,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKorea2,892,9167,AJkbvYDxyGcQpGKFG
