Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,Pink,No,1100,275,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Simple,Simple,3,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose5,463,11085,zpzD4NjApEyazKyKt
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,Yellow,No,1100,275,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Summer; Winter,Free,Free,Simple,Simple,4,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose4,463,11084,w7bEbAGSQTvur6D6f
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,Green,No,1100,275,51,Green,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,5,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose2,463,11082,EtxJZDCgnqjWkETqK
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,Blue,No,1100,275,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,6,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose3,463,11083,LEbiXtkHoiEMEtjWK
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,Purple,No,1100,275,51,Purple,Purple,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,7,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose1,463,11081,akRhFD3qeJEPM7WiD
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png,Gray,No,1040,260,51,Gray,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,1,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont3,260,11071,R9rDoMEzPcBw75hLE
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,Black,No,1040,260,51,Black,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Summer; Winter,Free,Free,Simple,Cool,2,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont0,260,4238,gHxascFKEJNrLCtD9
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont2.png,Green,No,1040,260,51,Green,Gray,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,3,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont2,260,11070,f6h8aqEufzizYBWiH
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png,Brown,No,1040,260,51,Brown,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Simple,Cool,4,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont1,260,11069,9iqmzMJiAeQMBN3pk
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum4.png,White,No,140,35,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,1,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum4,856,11030,r9N2a2TYhvXBKiihn
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum0.png,Pink,No,140,35,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,2,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum0,856,5738,4SLmXuCkS4eBjPbLn
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum2.png,Yellow,No,140,35,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Simple,Cool,3,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum2,856,11028,79zoWzHvMBJYcwuAy
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum3.png,Green,No,140,35,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,4,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum3,856,11029,F3PoMop5MGyaxtKjZ
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum1.png,Blue,No,140,35,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,5,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum1,856,11027,9wWYKTtMdo9pWqfsM
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit2.png,White,No,560,140,51,White,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit2,466,11024,ci8RKqDmqS5wD3W5k
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit0.png,Pink,No,560,140,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit0,466,4600,bxWYgcp2YKCdKe8Cr
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit1.png,Yellow,No,560,140,51,Yellow,Orange,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit1,466,11023,y6Dp62aNQn5ixvkwf
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly0.png,Blue,No,1040,260,51,Black,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Cool,Active,1,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly0,474,4608,WjbaLp9JbBGYRrb6K
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly1.png,Red,No,1040,260,51,Red,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Summer,Free,Free,Cool,Active,2,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly1,474,11503,AZrrNvHghPTHobKL4
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly2.png,Brown,No,1040,260,51,Brown,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cool,Active,3,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly2,474,11504,rz3Pgs5XGNiQFa3t4
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina1.png,Orange,No,NFS,800,451,White,Orange,1x1,NA,NA,Gulliver,,NA,NA,All Year,Autumn,NA,Free,Free,Gorgeous,Gorgeous,1,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina1,819,11169,xyQdqFuAkXkNs9qQ5
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina2.png,Blue,No,NFS,800,451,White,Aqua,1x1,NA,NA,Gulliver,,NA,NA,All Year,Autumn,NA,Free,Free,Gorgeous,Gorgeous,2,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina2,819,11170,fev4af8sNdggceyW9
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina0.png,Purple,No,NFS,800,451,White,Purple,1x1,NA,NA,Gulliver,,NA,NA,All Year,Autumn,NA,Free,Free,Gorgeous,Gorgeous,3,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina0,819,5666,GT3LzQZKg29riohcP
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat0.png,White,No,560,140,51,White,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat0,397,4483,45Muns9ig4dqrsFF7
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat2.png,Navy blue,No,560,140,51,Blue,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat2,397,11022,ywdWXRcwKJNMMxDyj
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat1.png,Brown,No,560,140,51,Brown,Beige,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat1,397,11021,CXDCEFzBdv8DwkCyM
cucumber pack,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCucumber.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCucumber.png,NA,No,490,122,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Simple,Cute,1,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthCucumber,405,4491,MhbCBrYX5fHxZWDuA
curly mustache,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRollingmustacheBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRollingmustacheBlack.png,NA,No,700,175,51,Colorful,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Gorgeous,1,fairy tale; formal; party,AccessoryMouthEarJaw,No,For sale,1.0.0,Yes,AccessoryMouthRollingmustacheBlack,498,4672,9tyCrNPeibcu5NLo8
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber2.png,Silver,No,1300,325,51,Gray,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,1,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber2,433,11499,AKakpCweRnd5hAsRB
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber1.png,Black,No,1300,325,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,2,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber1,433,11498,67BAc4y8aADafp9Xk
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber0.png,Red,No,1300,325,51,Red,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,3,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber0,433,4552,3YPuxxPLkzwwNQMQd
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber5.png,Yellow,No,1300,325,51,Yellow,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,4,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber5,433,11502,5pk9ZMDGsEzLqp24L
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber4.png,Green,No,1300,325,51,Green,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,5,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber4,433,11501,9izTCDGHSpqWrQp6T
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber3.png,Purple,No,1300,325,51,Purple,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,6,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber3,433,11500,y2svNHScnr8cNZe86
DAL eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalmask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalmask0.png,NA,No,NFS,1010,251,Blue,Blue,1x1,NA,NA,Dodo Airlines,Received in mail from DAL after 15 flights,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cute,1,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassDalmask0,1182,12128,sbkqQrHpJWMEEZLSR
DAL sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalglass0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalglass0.png,NA,No,NFS,1010,251,Yellow,Blue,1x1,NA,NA,Dodo Airlines,Received in mail from DAL after 75 flights,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Simple,1,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassDalglass0,1183,12129,zRnkH9B3rYNMLpiTP
doctor's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthMaskWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthMaskWhite.png,NA,No,140,35,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,everyday; goth; comfy,AccessoryMouthEarJaw,No,For sale,1.0.0,Yes,AccessoryMouthMaskWhite,375,4451,vZDsrDRdgrbbiwi8N
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog0.png,White,No,560,140,51,White,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog0,630,5244,moGRcnkQihHbN89Kc
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog2.png,Black,No,560,140,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog2,630,11026,9JGbmWtDA3rmjf8Kc
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog1.png,Beige,No,560,140,51,Orange,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog1,630,11025,zCQqXy8HLE7rDfrQf
double nose tissues,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthTissuedouble0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthTissuedouble0.png,NA,No,140,35,51,White,White,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,everyday; fairy tale; outdoorsy; comfy,AccessoryMouth,No,For sale,2.0.0,Yes,AccessoryMouthTissuedouble0,1356,14247,E6i9gRTa99JmeGi7y
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge2.png,Silver,No,1100,275,51,Gray,Gray,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Summer,Free,Free,Elegant,Simple,1,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge2,277,11077,CLPEzZqr3vut85Ja4
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge0.png,Gold,No,1100,275,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Simple,2,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge0,277,4263,8QCnzjXY8KEyqf7Wa
