Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
candle chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierRetroCeilingL_Remake_3_0.png,Gold,Variation,NA,NA,No,No,No,NA,NA,None,1700,5400,1350,Yellow,White,4900,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,European,expensive,None,None,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_3_0,3_0,13475,MvQTsNW4pocwgvvSB
candle chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierRetroCeilingL_Remake_4_0.png,Rust,Variation,NA,NA,No,No,No,NA,NA,None,1700,5400,1350,Brown,Beige,4900,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,European,expensive,None,None,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_4_0,4_0,13475,RKwuDp5C8ztNS5sH6
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_0_0.png,White,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,White,White,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_0_0,0_0,13156,aL4HQTAEXKLxS53qu
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_1_0.png,Black,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Black,Black,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_1_0,1_0,13156,R5izGA4wwdWe89Hbn
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_2_0.png,Silver,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Gray,Gray,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_2_0,2_0,13156,KX5cYFbab9jz4acSP
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_3_0.png,Brass,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Yellow,Yellow,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_3_0,3_0,13156,FKkHr72uXCc4SKudN
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_4_0.png,Green,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Green,Green,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_4_0,4_0,13156,6zA2Wvp3RSe38j22W
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_5_0.png,Red,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Red,Red,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_5_0,5_0,13156,mTTPLTNFCm9KYpoPi
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_6_0.png,Yellow,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Yellow,Yellow,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_6_0,6_0,13156,rAgJf8Ru2nREoNE8Z
ceiling fan,https://acnhcdn.com/latest/FtrIcon/FtrFanCeiling_Remake_7_0.png,Wooden,Variation,NA,NA,No,No,No,NA,NA,None,3800,14000,3500,Orange,Black,12600,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,living room,café,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrFanCeiling_Remake_7_0,7_0,13156,qJJk7pyT8iS37ftnY
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_0_0.png,Black,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Black,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_0_0,0_0,13148,6Ncu5niwBqF9PYCWr
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_1_0.png,White,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,White,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_1_0,1_0,13148,dtjZNa83K4DjDkMwN
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_2_0.png,Silver,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Gray,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_2_0,2_0,13148,L8q9PZN7foKEyLFtA
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_3_0.png,Gold,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Yellow,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_3_0,3_0,13148,3y9HYDy7u727zTt6R
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_4_0.png,Red,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Red,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_4_0,4_0,13148,6hFYwmiYXL66Jt5EC
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_5_0.png,Yellow,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Yellow,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_5_0,5_0,13148,XgHwaEb3dTAnwt9oj
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_6_0.png,Blue,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Blue,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_6_0,6_0,13148,DnfzL4iipq34XW5HR
ceiling spotlight,https://acnhcdn.com/latest/FtrIcon/FtrSpotlightCeiling_Remake_7_0.png,Colorful,Color,NA,NA,No,No,No,NA,NA,None,1700,4500,1125,Colorful,White,4000,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,concert,facility,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrSpotlightCeiling_Remake_7_0,7_0,13148,G7Zhyazv68XoCdWML
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_0_0.png,Gold,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Yellow,White,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_0_0,0_0,13154,rpa6FyR6dfo8bnFfG
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_1_0.png,Silver,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Gray,White,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_1_0,1_0,13154,86BYQSKtxoemM4nie
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_2_0.png,White,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,White,Yellow,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_2_0,2_0,13154,PBsnbJG64housikMf
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_3_0.png,Red,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Red,Red,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_3_0,3_0,13154,Abhuqf6fbK6HWCPCH
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_4_0.png,Blue,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Aqua,Aqua,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_4_0,4_0,13154,gbyjqfTrTDE2hYjz9
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_5_0.png,Green,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Green,Yellow,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_5_0,5_0,13154,ouxDDJo9PS2wCdbzx
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_6_0.png,Pink,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Pink,White,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_6_0,6_0,13154,nxnidXeR4B88xwD2N
chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierCeilingL_Remake_7_0.png,Purple,Color,NA,NA,No,No,No,NA,NA,None,5200,30000,7500,Purple,Purple,27000,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,expensive,European,None,None,Lighting,Yes,CeilingLamp,No,Fluorescent,For sale,2.0.0,Yes,FtrChandelierCeilingL_Remake_7_0,7_0,13154,K959Mam4ngd4yd6yG
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_0_0.png,Silver,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Gray,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_0_0,0_0,13164,666kTns3YTDS6ad82
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_1_0.png,Gold,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Yellow,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_1_0,1_0,13164,yvt2eH8RTaN5vEsEX
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_2_0.png,Purple,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Purple,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_2_0,2_0,13164,k7iquQDDBFsWRs6wJ
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_3_0.png,Blue,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Blue,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_3_0,3_0,13164,wAr6xtACASe3rmndj
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_4_0.png,Green,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Green,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_4_0,4_0,13164,eL3j32FYktxdQNcHp
disco ball,https://acnhcdn.com/latest/FtrIcon/FtrMirrorBallCeiling_Remake_5_0.png,Rainbow,Color,NA,NA,No,No,No,NA,NA,None,2400,6200,1550,Colorful,Black,5600,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,party,concert,None,None,None,Yes,CeilingEtc,No,Emission,For sale,2.0.0,Yes,FtrMirrorBallCeiling_Remake_5_0,5_0,13164,rhEC3pvhFSoucTsd2
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_0.png,NA,NA,Berry red,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Red,Red,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_0,0_0,13701,ZHJcaGhcinXu9Lgtg
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_1.png,NA,NA,Green,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Black,Black,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_1,0_1,13701,h6MqXRWWQCQ5z7Sts
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_2.png,NA,NA,Yellow,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,White,White,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_2,0_2,13701,9c5Kfg7CyQsshGqmw
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_3.png,NA,NA,Light blue,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Blue,Blue,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_3,0_3,13701,RD2P8efrbmfZs6mLC
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_4.png,NA,NA,White,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Green,Green,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_4,0_4,13701,xihWLMywaKD3ELJj4
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_5.png,NA,NA,Navy blue,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Yellow,Yellow,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_5,0_5,13701,QnmBRB7qXsa8qjGrD
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_6.png,NA,NA,Black,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Aqua,Aqua,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_6,0_6,13701,J47yu2h82T24arHHy
drapery,https://acnhcdn.com/latest/FtrIcon/FtrDrapeCeiling_Remake_0_7.png,NA,NA,Purple,Color,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1600,400,Purple,Pink,1400,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,music,facility,None,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDrapeCeiling_Remake_0_7,0_7,13701,Rn3FBo6zXYfHFy6Ty
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_0_0.png,Pink,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,Pink,Purple,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_0_0,0_0,13692,cvF3RdwF47yCdvfNd
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_1_0.png,Blue,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,Aqua,Blue,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_1_0,1_0,13692,jittPPTcGr46QNS5A
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_2_0.png,Green,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,Green,Green,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_2_0,2_0,13692,6x3cMCQxXgnwmuipd
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_3_0.png,Yellow,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,Yellow,Orange,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_3_0,3_0,13692,Ktpgk6bTPFYiSq9w7
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_4_0.png,White,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,White,Red,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_4_0,4_0,13692,dABGdMJLtbn39gjhn
dreamy hanging decoration,https://acnhcdn.com/latest/FtrIcon/FtrDreamyCeiling_Remake_5_0.png,Black,Color,NA,NA,No,No,No,NA,NA,None,1000,2100,525,Black,Purple,1900,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,fancy,child's room,dreamy,None,None,No,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrDreamyCeiling_Remake_5_0,5_0,13692,2mBBr7PGMKmhABq3g
dual hanging monitors,https://acnhcdn.com/latest/FtrIcon/FtrElectricBoardCeiling_Remake_0_0.png,Black,Color,Café menu,Displayed content,No,No,Yes,Default,2,Normal,1700,5400,1350,Black,Black,4900,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,restaurant,café,None,None,None,Yes,CeilingEtc,No,Monitor,For sale,2.0.0,Yes,FtrElectricBoardCeiling_Remake_0_0,0_0,13157,DNQgZTgXiwLEq835D
dual hanging monitors,https://acnhcdn.com/latest/FtrIcon/FtrElectricBoardCeiling_Remake_0_1.png,Black,Color,Drink menu,Displayed content,No,No,Yes,Default,2,Normal,1700,5400,1350,Black,Aqua,4900,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,restaurant,café,None,None,None,Yes,CeilingEtc,No,Monitor,For sale,2.0.0,Yes,FtrElectricBoardCeiling_Remake_0_1,0_1,13157,jsmA4x4mjKuGtGz77
dual hanging monitors,https://acnhcdn.com/latest/FtrIcon/FtrElectricBoardCeiling_Remake_0_2.png,Black,Color,Fast-food menu,Displayed content,No,No,Yes,Default,2,Normal,1700,5400,1350,Black,White,4900,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,restaurant,café,None,None,None,Yes,CeilingEtc,No,Monitor,For sale,2.0.0,Yes,FtrElectricBoardCeiling_Remake_0_2,0_2,13157,W8TBbzyYikrYaJwFx
