Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
corrugated iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceCorrugatedIron_Remake_4_0.png,Red,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_4_0,4_0,14758,b4wCAGpeiKNQKn2tN
corrugated iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceCorrugatedIron_Remake_5_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_5_0,5_0,14758,taWDpCYbwtnxqr68T
corrugated iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceCorrugatedIron_Remake_6_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_6_0,6_0,14758,Q9aQS7h5HtJ5jEZQq
corrugated iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceCorrugatedIron_Remake_7_0.png,Brown,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_7_0,7_0,14758,TsjJXwxTniq3FWZnR
country fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLog.png,NA,NA,Yes,No,NA,None,NA,50,NFS,72,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLog,NA,4350,twwkbWJ8YsoJEy3j8
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_0_0.png,Ice,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_0_0,0_0,14756,ECXSEhvtE5XqvDLdW
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_1_0.png,Ice blue,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_1_0,1_0,14756,kEgodfCvnHHwz9rdj
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_2_0.png,Ice pink,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_2_0,2_0,14756,gpnuvutoCkkMppzxz
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_3_0.png,Ice yellow,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_3_0,3_0,14756,qvbWqne5MX4Ddrdvn
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_4_0.png,Ice orange,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_4_0,4_0,14756,nkFQQ4hRxxRHF38DD
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_5_0.png,Ice green,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_5_0,5_0,14756,Cq4BQyuvbqHvzDy8y
frozen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIce_Remake_6_0.png,Ice purple,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_6_0,6_0,14756,mGFKRECMp9YowP2Tv
green bamboo fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceCrossedBamboo.png,NA,NA,Yes,No,NA,None,NA,50,NFS,96,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCrossedBamboo,NA,14755,LhbRFhRy7eQiPbcSZ
hedge,https://acnhcdn.com/latest/FtrIcon/ItemFenceIkegaki.png,NA,NA,Yes,No,NA,None,NA,50,NFS,55,Crafting,,NA,NA,Not for sale,1.2.0,Yes,ItemFenceIkegaki,NA,12758,TphLYSh2MdogHdheg
imperial fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceChinese.png,NA,NA,Yes,No,NA,None,NA,50,NFS,120,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceChinese,NA,4354,fHqt7TXfbhfKnPbwG
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_0_0.png,Light blue,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_0_0,0_0,4357,RL5hL24NbwzE7zv3R
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_1_0.png,Red,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_1_0,1_0,4357,MQmNibiLC5ujWPTjP
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_2_0.png,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_2_0,2_0,4357,HEZZxvoKnMYyTRCeL
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_3_0.png,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_3_0,3_0,4357,dBoh8bTZLMfGJ44MX
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_4_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_4_0,4_0,4357,abxXLg4FGa52zwAA6
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_5_0.png,Orange,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_5_0,5_0,4357,rJyoLsjrqB3j2Nwdt
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_6_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_6_0,6_0,4357,3hjxsDtdySLQGH5Ec
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel_Remake_7_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,450,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_7_0,7_0,4357,dtP7xARX2PdA7RtTx
iron-and-stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIronAndStone.png,NA,NA,Yes,No,NA,None,NA,50,NFS,315,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceIronAndStone,NA,5206,kjSa4R6JQz2DtWQ2C
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_0_0.png,Natural,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_0_0,0_0,5208,wABzTyF5CaorKLJq4
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_1_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_1_0,1_0,5208,haq4bAhYphv6KZWAR
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_2_0.png,Brown,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_2_0,2_0,5208,nYAHybQMLgyFoiLRW
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_3_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_3_0,3_0,5208,tKSabkRhFJePzcoEP
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_4_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_4_0,4_0,5208,w2yhQpiefWQrFjwFJ
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_5_0.png,Dark brown,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_5_0,5_0,5208,AmFmL5pujXKGcPbZn
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_6_0.png,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_6_0,6_0,5208,5DqcA5RgRoDxhDtSk
large lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatticeBig_Remake_7_0.png,Purple,Color,Yes,Yes,1,Normal,1000,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_7_0,7_0,5208,TNLhzsvuSoQ5jd7ac
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_0_0.png,Natural,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_0_0,0_0,11712,qBrhYgaCnEiQYouP6
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_1_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_1_0,1_0,11712,ebx7dWqi7wZaobni3
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_2_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_2_0,2_0,11712,fK8rCXmhRdph5aMaq
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_3_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_3_0,3_0,11712,aWJZvPEGR8J2QumhB
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_4_0.png,Pink,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_4_0,4_0,11712,NobD4hcBxcfJmQzJp
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_5_0.png,Light blue,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_5_0,5_0,11712,3E8SKqfFCTxB8re3S
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_6_0.png,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_6_0,6_0,11712,Fx3c7yFA8eKfc2BGv
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural_Remake_7_0.png,Purple,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_7_0,7_0,11712,eNw32m5GGSnw6dGYd
log fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHorizontalLog.png,NA,NA,Yes,No,NA,None,NA,50,NFS,72,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceHorizontalLog,NA,4351,ifuDMxChXr5ZiHGsg
log-wall fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLogWall.png,NA,NA,Yes,No,NA,None,NA,50,NFS,120,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceLogWall,NA,5210,SZM2JpYHZwyL58kmw
mermaid fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceMermaid.png,NA,NA,Yes,No,NA,None,NA,50,NFS,1310,Crafting,,NA,NA,Not for sale,1.7.0,Yes,ItemFenceMermaid,NA,14278,ckHANkPvuKPj7P59Z
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_0_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_0_0,0_0,14759,mutLvn796ZQBRoLhP
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_1_0.png,Red,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_1_0,1_0,14759,LjnqtWXGrmPP5hkRP
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_2_0.png,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_2_0,2_0,14759,mGDZJnNrDz73RDXaJ
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_3_0.png,Lime,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_3_0,3_0,14759,vkQbtQ69HGj9HWHBQ
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_4_0.png,Pink,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_4_0,4_0,14759,p7G4i7W7KQNKDXLHE
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_5_0.png,Red & yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_5_0,5_0,14759,JMxdd29T9qjbGwxKA
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_6_0.png,Pink & blue,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_6_0,6_0,14759,ELM8MNypnp77LoW9D
park fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePark_Remake_7_0.png,Orange & green,Color,Yes,Yes,1,Normal,1000,50,NFS,375,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFencePark_Remake_7_0,7_0,14759,7ycs8DgQMnXZ8rafq
rope fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePegRope.png,NA,NA,Yes,No,NA,None,NA,50,NFS,300,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFencePegRope,NA,4352,TpruAQnqeeYcDxPRj
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_0_0.png,Natural,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_0_0,0_0,11711,bxF62vutvYBw9BTDT
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_1_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_1_0,1_0,11711,Kkmjn6BrdDfPz48e2
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_2_0.png,Brown,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_2_0,2_0,11711,tcxM3mJLsQD7YxEs8
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_3_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_3_0,3_0,11711,vzoHZ9cnv4dipBnfh
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_4_0.png,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_4_0,4_0,11711,MC7D4yBEzoS6eLtkD
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_5_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_5_0,5_0,11711,7FynyLiyuGG9KjNdE
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_6_0.png,Pink,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_6_0,6_0,11711,R7WyXriMCZxSWL8EE
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural_Remake_7_0.png,Purple,Color,Yes,Yes,1,Normal,1000,50,NFS,72,Crafting; Tom Nook,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceNatural_Remake_7_0,7_0,11711,X7ogyM8rtkLRuyjNk
spiky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSharply.png,NA,NA,Yes,No,NA,None,NA,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceSharply,NA,4358,gYccyRpBzpFCLLW56
spooky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHalloween.png,NA,NA,Yes,No,NA,None,NA,50,NFS,585,Crafting,,Halloween (days before); Halloween,Yes,Not for sale,1.5.0,Yes,ItemFenceHalloween,NA,13275,yHsjxz9cexo9WbDaK
stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceStone.png,NA,NA,Yes,No,NA,None,NA,50,NFS,60,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceStone,NA,5212,ECNmTH3oh3SEDpHCr
straw fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceDriedStraw.png,NA,NA,Yes,No,NA,None,NA,50,NFS,56,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceDriedStraw,NA,4356,yp69uEZTdfS9CkisA
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_0_0.png,Natural,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_0_0,0_0,3402,M9pkSgdAaKgQELi3E
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_1_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_1_0,1_0,3402,XTLNrFZzoDh9cD8Kt
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_2_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_2_0,2_0,3402,jTyiwMsmkaXCF7hLv
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_3_0.png,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_3_0,3_0,3402,ecorj47DZedoZrbgW
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_4_0.png,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_4_0,4_0,3402,oDZA3KWp6jcJLhrkv
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_5_0.png,Pink,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_5_0,5_0,3402,T7ajqp3deFgf85jhn
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_6_0.png,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_6_0,6_0,3402,EQeAKGbyKn8jNa89H
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood_Remake_7_0.png,Purple,Color,Yes,Yes,1,Normal,1000,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceVerticalWood_Remake_7_0,7_0,3402,XB3YvXoDxSTyrZeMF
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_0_0.png,White,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_0_0,0_0,12894,68uMh2zjCmeJukYhv
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_1_0.png,Pink,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_1_0,1_0,12894,wqLxxBmRBhAqz2ePq
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_2_0.png,Mint,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_2_0,2_0,12894,A2HQdKp9W2soyevwG
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_3_0.png,Red,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_3_0,3_0,12894,jcQp3WdFzGCsBS2CC
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_4_0.png,Light blue,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_4_0,4_0,12894,Aaza388Cq4fuwp4fX
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_5_0.png,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_5_0,5_0,12894,pat3RZ9KXysyjTcaL
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_6_0.png,Purple,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_6_0,6_0,12894,WMFk74bGc4zv3Lwbu
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride_Remake_7_0.png,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,411,Crafting,,Wedding Season,Yes,Not for sale,1.2.0,Yes,ItemFenceJuneBride_Remake_7_0,7_0,12894,87n6rkrTzLCKvZtRv
