Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,Green,No,880,220,51,Green,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,4,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey1,127,11295,Ygp8L2zeem8ECZroK
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,Blue,No,880,220,51,Blue,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,5,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey3,127,11297,R6apb74ivZCDbvEvi
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,Navy blue,No,880,220,51,Blue,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,outdoorsy; comfy; sporty,6,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey5,127,11299,zauG7p57gDAPSqPH4
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,Black,No,560,140,51,Black,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,All Year,Free,Active,Active,outdoorsy; comfy; sporty,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey2,422,11906,XZyRpyaiPbfw5nwTD
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,Berry red,No,560,140,51,Red,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Active,Active,outdoorsy; comfy; sporty,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey4,422,11908,QWxKgGJSnKgHEyz5Y
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,Red,No,560,140,51,Red,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Active,Active,outdoorsy; comfy; sporty,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey0,422,4518,Pz4KvZgNanynj88ut
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,Green,No,560,140,51,Green,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Active,Active,outdoorsy; comfy; sporty,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey1,422,11905,Cgi5fvfgm5YEdCpNu
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,Blue,No,560,140,51,Blue,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Active,Active,outdoorsy; comfy; sporty,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey3,422,11907,omNsW8d3EgoAs3tLL
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,Navy blue,No,560,140,51,Blue,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Active,Active,outdoorsy; comfy; sporty,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey5,422,11909,wkX3PL2R5dYC8PNJ2
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball7.png,Black,No,980,245,51,Black,Red,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball7,849,11313,gRj6pG26jHFQZB8TA
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,Red,No,980,245,51,Red,Black,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball1,849,11307,TpYJQMq2Z8tEkK2Wd
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,Orange,No,980,245,51,Orange,Blue,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball3,849,11309,iHFbTwYkKaqut6RnX
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,Yellow,No,980,245,51,Yellow,Green,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball5,849,11311,zjahPrxJ4ZBRcnq74
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,Green,No,980,245,51,Green,Orange,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball2,849,11308,KCggjKmE8js3MG6bq
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,Light blue,No,980,245,51,Aqua,Blue,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball6,849,11312,iDr7MMuWGDqgsh5Be
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,Blue,No,980,245,51,Blue,Red,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,7,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball4,849,11310,4iB4fmJjkKNNzWJBS
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,Purple,No,980,245,51,Purple,Yellow,1x1,880,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty; work,8,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball0,849,5720,yTsGx7eQh4JWNdXB2
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms0.png,Orange,No,1320,330,51,Orange,Orange,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Gorgeous,Elegant,everyday,1,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms0,327,4364,sAGeX7YksW4qTsRz9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms3.png,Green,No,1320,330,51,Green,Green,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Gorgeous,Elegant,everyday,2,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms3,327,9272,tn3suswYrh2ZcD649
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms4.png,Blue,No,1320,330,51,Blue,Blue,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Gorgeous,Elegant,everyday,3,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms4,327,9273,mRdLrYzxuYuP7yqB9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms1.png,Brown,No,1320,330,51,Brown,Brown,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Gorgeous,Elegant,everyday,4,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms1,327,9270,AhZR3qCS8owvTgWS9
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms2.png,Beige,No,1320,330,51,Beige,Beige,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Gorgeous,Elegant,everyday,5,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms2,327,9271,h5fKoKik2BmT6JPAb
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap1.png,Red,No,1040,260,51,Red,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Womanly,Simple,Elegant,everyday; comfy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap1,429,8721,TuKyTJdQckfqf2nae
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap0.png,Yellow,No,1040,260,51,Yellow,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Womanly,Simple,Elegant,everyday; comfy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap0,429,4545,6j99icX2C8n2NQSxe
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap2.png,Green,No,1040,260,51,Green,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Womanly,Simple,Elegant,everyday; comfy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap2,429,8722,FCtNFz4XG85wdDcbu
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap3.png,Blue,No,1040,260,51,Blue,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Womanly,Simple,Elegant,everyday; comfy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap3,429,8723,Z3y37JrC5nnCjyFgC
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa7.png,Black,No,1200,300,51,Black,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa7,734,9120,3Z3cYyfhRkhmDKKKP
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa4.png,Red,No,1200,300,51,Red,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa4,734,9117,Ydd3mZGaYrNupaAop
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa5.png,Orange,No,1200,300,51,Orange,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Active,Simple,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa5,734,9118,nmpe6DS922LwufDP5
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa1.png,Avocado,No,1200,300,51,Green,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa1,734,9114,diDTCzmh2EfcQ8Est
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa6.png,Peacock blue,No,1200,300,51,Aqua,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa6,734,9119,y3bqMB4hjKdxHjeRQ
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa3.png,Blue,No,1200,300,51,Blue,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa3,734,9116,uNMeoCpWFsgQnhyGJ
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa0.png,Purple,No,1200,300,51,Purple,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,7,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa0,734,5419,hHHSAxKeTKy94FrLh
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa2.png,Beige,No,1200,300,51,Beige,Black,1x1,1100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Active,Simple,everyday; outdoorsy,8,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBoa2,734,9115,rxrscQDTFaB6T3CS3
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa3.png,Red,No,1300,325,51,Red,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa3,733,9109,ef7PeMEWM8geRb2JX
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa4.png,Yellow,No,1300,325,51,Yellow,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa4,733,9110,sBZFNvhEg4Bsi8WLM
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa0.png,Green,No,1300,325,51,Green,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa0,733,5418,nFzxYepHxpSzdLHrw
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa5.png,Light blue,No,1300,325,51,Aqua,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa5,733,9111,JzeKHWEDDS5k9KpBy
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa1.png,Blue,No,1300,325,51,Blue,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,5,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa1,733,9107,MYjHWe4KXX2bDwP6k
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa2.png,Purple,No,1300,325,51,Purple,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,6,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa2,733,9108,eSPxEhawpKLm2ceMk
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa7.png,Brown,No,1300,325,51,Brown,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Womanly,Active,Simple,everyday; outdoorsy,7,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa7,733,9113,uDTLrmXkDEqToQbJ3
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa6.png,Beige,No,1300,325,51,Beige,Black,1x1,1200,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Womanly,Active,Simple,everyday; outdoorsy,8,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxBoa6,733,9112,GtiB2HMiy56rLvCYA
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone1.png,Black,No,1320,330,51,Black,Black,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Cool,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone1,851,11663,Bp7H3PBvjLpJycCqv
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone0.png,Avocado,No,1320,330,51,Green,Green,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Cool,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone0,851,5722,jhqr7bGfmAXM6uK3x
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone2.png,Blue,No,1320,330,51,Blue,Blue,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Cool,everyday; outdoorsy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone2,851,11664,EQerBX3MAFt27siGH
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone3.png,Brown,No,1320,330,51,Brown,Brown,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Womanly,Cool,Cool,everyday; outdoorsy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongMaone3,851,11665,xy5EjisA8WfpzSGcW
