Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet2.png,Baby yellow,No,560,140,51,Yellow,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet2,707,11854,qk3PJdK2SZK4vsFKo
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet3.png,Baby green,No,560,140,51,Green,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,5,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet3,707,11855,hADTfx6Y2hKri4obE
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet0.png,Baby mint,No,560,140,51,Aqua,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,6,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet0,707,5363,rv9rW8dCfB8k73Hzr
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet6.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet6.png,Baby blue,No,560,140,51,Blue,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,7,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet6,707,11858,qHj5WWwZRstJtjP2d
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet5.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet5.png,Baby gray,No,560,140,51,Beige,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,8,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet5,707,11857,7FLgET2RH6aejsb8v
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon1.png,Orange,No,1120,280,51,Orange,Pink,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon1,689,11050,rWRnH9TkRg3o9xDJQ
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon3.png,Green,No,1120,280,51,Green,Yellow,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon3,689,11052,CwDPA4FeLvQ44QncE
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon2.png,Blue,No,1120,280,51,Blue,Purple,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon2,689,11051,oKbK2uhkLaQaRnpWW
balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon0.png,Rainbow,No,1120,280,51,Colorful,Colorful,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,party; theatrical,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBalloon0,689,5340,Y2LX2RKY9fu4DtjFs
bamboo hat,https://acnhcdn.com/latest/ClosetIcon/CapHatAjiroBeige.png,https://acnhcdn.com/latest/FtrIcon/CapHatAjiroBeige.png,NA,Yes,NFS,200,103,Beige,Beige,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,fairy tale; outdoorsy,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatAjiroBeige,594,5143,ehxYwYvtXQ5wyi3pQ
barrette,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTBarrette0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTBarrette0.png,NA,No,490,122,51,Pink,White,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cute,everyday; fairy tale; party,1,HeadHairOrnament_Back,Yes,For sale,1.0.0,Yes,CapOrnamentTBarrette0,1111,9860,BK2NAfuYfrr4womPM
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball3.png,Orange,No,840,210,51,Black,Orange,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball3,1061,12094,HE8xZkXbRspp6qgoE
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball4.png,Yellow,No,840,210,51,Black,Yellow,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball4,1061,12095,rci5SRCfQ3Hre9vsT
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball0.png,Red,No,840,210,51,Red,Red,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball0,1061,9763,Yt7QudxePYGMbwcWt
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball2.png,Green,No,840,210,51,Green,Green,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball2,1061,12093,xYaGzJECou3ALoBz4
baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball1.png,Navy blue,No,840,210,51,Blue,Blue,1x1,760,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; sporty; work,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBaseball1,1061,12092,PomndWn5sqv7fZ86a
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball3.png,Orange,No,1040,260,51,Black,Orange,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,1,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball3,709,11598,ohKfr9GPDP7QdRSnC
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball4.png,Yellow,No,1040,260,51,Black,Yellow,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,2,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball4,709,11599,4bFJaJ5S9qqevW4sx
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball0.png,Red,No,1040,260,51,Red,Red,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,3,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball0,709,5366,5YfnKAsTFYFEyGCJb
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball2.png,Green,No,1040,260,51,Green,Green,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,4,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball2,709,11597,GfWeB9jgoCTfuG9Lv
batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball1.png,Navy blue,No,1040,260,51,Blue,Blue,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,5,Headgear_NoEar,No,For sale,1.0.0,Yes,CapHelmetBaseball1,709,11596,zRQ6hi9FeiQcLXwzH
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear0.png,Brown,No,1120,280,51,Brown,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear0,682,5330,qmkSD7yKDpFvdxcPK
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear1.png,Black,No,1120,280,51,Black,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear1,682,11704,6Lrqy6EP9zYBc9Cvj
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear2.png,Pink,No,1120,280,51,Pink,Beige,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear2,682,11705,CK638wXoN5uPsRbYJ
bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear3.png,Blue,No,1120,280,51,Aqua,White,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBear3,682,11706,MfoAxTnsMmTQBic6g
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret5.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret5.png,White,No,880,220,51,White,White,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,All Year,Free,Free,Elegant,Elegant,everyday; formal; party,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret5,636,11527,4cJGWuLDDa2emHT9H
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret4.png,Gray,No,880,220,51,Gray,Gray,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret4,636,11526,RumHCxfL5TsdeSodA
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret0.png,Berry red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,Winter,Free,Free,Elegant,Elegant,everyday; formal; party,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret0,636,5260,iPsbB4mbQ899q2j57
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret3.png,Mustard,No,880,220,51,Yellow,Yellow,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret3,636,11525,gW77mBgBYahG3WcYf
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret2.png,Green,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret2,636,11524,39uW3hcrPpBpudJrm
beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret1.png,Blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Elegant,everyday; formal; party,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatBeret1,636,11523,9CLccmJpKhs7z7GsP
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet2.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet2.png,Red,No,1100,275,51,Red,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet2,645,10220,QDn7xQHdWZ6xPh3BT
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet7.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet7.png,Pink,No,1100,275,51,Pink,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet7,645,10225,RZCHqdZeoMmDoGm4m
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet5.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet5.png,Orange,No,1100,275,51,Orange,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet5,645,10223,4GFrms76iFwwqSCkm
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet3.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet3.png,Lime,No,1100,275,51,Yellow,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet3,645,10221,mM2hGRaCP5ZaDdab6
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet4.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet4.png,Green,No,1100,275,51,Green,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet4,645,10222,qqDW5HCEQdMJx5H5B
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet0.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet0.png,Blue,No,1100,275,51,Aqua,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet0,645,5282,kWrRgRFJ8PYExJvL6
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet1.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet1.png,Navy blue,No,1100,275,51,Blue,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,7,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet1,645,10219,tXGWFr2hrkQg6XgKy
bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet6.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet6.png,Purple,No,1100,275,51,Purple,Black,1x1,990,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty,8,HeadCap,Yes,For sale,1.0.0,Yes,CapHatCyclemet6,645,10224,D2BTXoTXvvGwzyyuF
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday2.png,Pink,No,NFS,600,573,Pink,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday2,551,11032,SHSKySrv2c9QJHFbt
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday1.png,Yellow,No,NFS,600,573,Yellow,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday1,551,11031,KxQKjRzS2zDaXTS38
birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday0.png,Blue,No,NFS,600,573,Aqua,White,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatBirthday0,551,4800,zndsngwExKbWTahZf
